,package_id,centroid_latitude,centroid_longitude
2175,ess-dive-120a44f1c8a626c-20240717T182120652,41.4623,-82.9974
2176,ess-dive-120a44f1c8a626c-20240717T182120652,38.8014,-76.7033
2177,ess-dive-120a44f1c8a626c-20240717T182120652,38.2105,-75.8056
2178,ess-dive-120a44f1c8a626c-20240717T182120652,38.8873,-76.5621
2179,ess-dive-120a44f1c8a626c-20240717T182120652,37.7128,-75.6086
2180,ess-dive-120a44f1c8a626c-20240717T182120652,37.9923,-75.8218
2181,ess-dive-120a44f1c8a626c-20240717T182120652,39.4187,-75.3786
2182,ess-dive-120a44f1c8a626c-20240717T182120652,39.0884,-75.4374
2183,ess-dive-120a44f1c8a626c-20240717T182120652,47.1041,-88.5153
2184,ess-dive-120a44f1c8a626c-20240717T182120652,38.7744,-75.9753
2185,ess-dive-120a44f1c8a626c-20240717T182120652,38.5922,-76.1302
2186,ess-dive-120a44f1c8a626c-20240717T182120652,39.0381,-76.2242
2187,ess-dive-120a44f1c8a626c-20240717T182120652,37.5569,-76.9731
2188,ess-dive-120a44f1c8a626c-20240717T182120652,37.3264,-77.2078
2189,ess-dive-120a44f1c8a626c-20240717T182120652,43.7604,-86.4078
2190,ess-dive-120a44f1c8a626c-20240717T182120652,37.4644,-75.8358
2191,ess-dive-120a44f1c8a626c-20240717T182120652,37.4638,-75.8357
2192,ess-dive-120a44f1c8a626c-20240717T182120652,39.8815,-75.2648
2193,ess-dive-120a44f1c8a626c-20240717T182120652,39.062,-75.394
2194,ess-dive-120a44f1c8a626c-20240717T182120652,38.8842,-76.5583
2195,ess-dive-120a44f1c8a626c-20240717T182120652,39.9905,-74.8443
2196,ess-dive-120a44f1c8a626c-20240717T182120652,39.0892,-75.4365
2197,ess-dive-120a44f1c8a626c-20240717T182120652,43.4166,-86.3508
2198,ess-dive-120a44f1c8a626c-20240717T182120652,39.8801,-75.2666
2199,ess-dive-120a44f1c8a626c-20240717T182120652,42.6709,-86.2106
2200,ess-dive-120a44f1c8a626c-20240717T182120652,37.3347,-77.2058
2201,ess-dive-120a44f1c8a626c-20240717T182120652,38.5747,-76.2191
2202,ess-dive-120a44f1c8a626c-20240717T182120652,38.1604,-75.7899
2203,ess-dive-120a44f1c8a626c-20240717T182120652,38.812,-76.7061
2204,ess-dive-120a44f1c8a626c-20240717T182120652,38.9681,-75.3698
2205,ess-dive-120a44f1c8a626c-20240717T182120652,39.8055,-75.2077
2206,ess-dive-120a44f1c8a626c-20240717T182120652,39.1836,-74.8517
2207,ess-dive-120a44f1c8a626c-20240717T182120652,39.1683,-75.5211
2208,ess-dive-120a44f1c8a626c-20240717T182120652,39.2574,-75.0903
2209,ess-dive-120a44f1c8a626c-20240717T182120652,38.4303,-76.2269
